Class,Package,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
PropertiesConfiguration.java,org.apache.commons.configuration2,162,2,8,5,177,91.52542372881356
PropertiesConfigurationLayout.java,org.apache.commons.configuration2,123,0,7,4,134,91.7910447761194
PropertyConverter.java,org.apache.commons.configuration2.convert,167,15,1,0,183,91.2568306010929
PropertyListConfiguration.java,org.apache.commons.configuration2.plist,82,10,25,0,117,70.08547008547008
PropertyListParser.java,org.apache.commons.configuration2.plist,107,80,34,0,221,48.41628959276018
PropertyListParserTokenManager.java,org.apache.commons.configuration2.plist,111,139,91,1,342,32.45614035087719
ProvidedURLLocationStrategy.java,org.apache.commons.configuration2.io,1,0,0,0,1,100.0
QueryResult.java,org.apache.commons.configuration2.tree,16,0,1,0,17,94.11764705882352
ReadWriteSynchronizer.java,org.apache.commons.configuration2.sync,4,0,0,2,6,66.66666666666666
ReferenceTracker.java,org.apache.commons.configuration2.tree,14,0,0,0,14,100.0
ReloadingBuilderSupportListener.java,org.apache.commons.configuration2.builder,6,0,0,0,6,100.0
ReloadingCombinedConfigurationBuilder.java,org.apache.commons.configuration2.builder.combined,11,0,1,0,12,91.66666666666666
ReloadingController.java,org.apache.commons.configuration2.reloading,15,0,2,0,17,88.23529411764706
ReloadingEvent.java,org.apache.commons.configuration2.reloading,2,0,0,0,2,100.0
ReloadingFileBasedConfigurationBuilder.java,org.apache.commons.configuration2.builder,14,0,0,0,14,100.0
ReloadingMultiFileConfigurationBuilder.java,org.apache.commons.configuration2.builder.combined,4,0,0,0,4,100.0
ServletConfiguration.java,org.apache.commons.configuration2.web,2,0,0,0,2,100.0
ServletContextConfiguration.java,org.apache.commons.configuration2.web,2,0,0,0,2,100.0
ServletFilterConfiguration.java,org.apache.commons.configuration2.web,2,0,0,0,2,100.0
ServletRequestConfiguration.java,org.apache.commons.configuration2.web,7,0,0,0,7,100.0
SimpleCharStream.java,org.apache.commons.configuration2.plist,23,110,15,3,151,15.2317880794702
StrictConfigurationComparator.java,org.apache.commons.configuration2,13,0,0,0,13,100.0
StringLookupAdapter.java,org.apache.commons.configuration2.interpol,1,0,0,0,1,100.0
SubnodeConfiguration.java,org.apache.commons.configuration2,15,0,0,0,15,100.0
SubsetConfiguration.java,org.apache.commons.configuration2,39,3,0,0,42,92.85714285714286
SystemConfiguration.java,org.apache.commons.configuration2,7,1,0,0,8,87.5
SystemPropertiesLookup.java,org.apache.commons.configuration2.interpol,0,1,0,0,1,0.0
Token.java,org.apache.commons.configuration2.plist,1,2,0,0,3,33.33333333333333
TokenMgrError.java,org.apache.commons.configuration2.plist,0,12,0,0,12,0.0
TrackedNodeHandler.java,org.apache.commons.configuration2.tree,3,0,0,0,3,100.0
TrackedNodeModel.java,org.apache.commons.configuration2.tree,16,0,4,0,20,80.0
TreeData.java,org.apache.commons.configuration2.tree,14,1,0,1,16,87.5
TreeUtils.java,org.apache.commons.configuration2.tree,0,0,11,0,11,0.0
UnionCombiner.java,org.apache.commons.configuration2.tree,8,0,0,0,8,100.0
VFSFileHandlerReloadingDetector.java,org.apache.commons.configuration2.reloading,7,0,0,0,7,100.0
VFSFileSystem.java,org.apache.commons.configuration2.io,9,44,7,0,60,15.0
XMLBeanDeclaration.java,org.apache.commons.configuration2.beanutils,43,1,5,0,49,87.75510204081633
XMLBuilderParametersImpl.java,org.apache.commons.configuration2.builder,15,0,0,0,15,100.0
XMLConfiguration.java,org.apache.commons.configuration2,148,1,19,2,170,87.05882352941177
XMLDocumentHelper.java,org.apache.commons.configuration2,23,0,0,0,23,100.0
XMLListReference.java,org.apache.commons.configuration2,19,0,3,0,22,86.36363636363636
XMLPropertiesConfiguration.java,org.apache.commons.configuration2,37,5,7,1,50,74.0
XMLPropertyListConfiguration.java,org.apache.commons.configuration2.plist,114,12,12,0,138,82.6086956521739
XPathContextFactory.java,org.apache.commons.configuration2.tree.xpath,2,0,0,0,2,100.0
XPathExpressionEngine.java,org.apache.commons.configuration2.tree.xpath,60,0,9,1,70,85.71428571428571
YAMLConfiguration.java,org.apache.commons.configuration2,7,5,1,0,13,53.84615384615385
