Class,Package,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
NullIsExceptionPredicate.java,org.apache.commons.collections4.functors,3,0,1,2,0,6,50.0
NullIsFalsePredicate.java,org.apache.commons.collections4.functors,6,0,1,0,0,7,85.71428571428571
NullIsTruePredicate.java,org.apache.commons.collections4.functors,6,0,1,0,0,7,85.71428571428571
NullPredicate.java,org.apache.commons.collections4.functors,4,0,0,0,0,4,100.0
ObjectArrayIterator.java,org.apache.commons.collections4.iterators,15,0,2,0,0,17,88.23529411764706
ObjectArrayListIterator.java,org.apache.commons.collections4.iterators,15,0,1,0,0,16,93.75
ObjectGraphIterator.java,org.apache.commons.collections4.iterators,28,0,0,0,0,28,100.0
OnePredicate.java,org.apache.commons.collections4.functors,11,0,1,0,0,12,91.66666666666666
OrPredicate.java,org.apache.commons.collections4.functors,6,0,1,0,0,7,85.71428571428571
PassiveExpiringMap.java,org.apache.commons.collections4.map,0,0,51,0,0,51,0.0
PeekingIterator.java,org.apache.commons.collections4.iterators,19,0,2,1,1,23,82.6086956521739
PermutationIterator.java,org.apache.commons.collections4.iterators,34,0,0,4,0,38,89.47368421052632
PredicateTransformer.java,org.apache.commons.collections4.functors,3,0,1,1,0,5,60.0
PredicateUtils.java,org.apache.commons.collections4,24,0,5,0,0,29,82.75862068965517
PredicatedBag.java,org.apache.commons.collections4.bag,2,0,11,0,0,13,15.384615384615385
PredicatedCollection.java,org.apache.commons.collections4.collection,27,0,3,3,0,33,81.81818181818183
PredicatedList.java,org.apache.commons.collections4.list,17,0,1,6,0,24,70.83333333333334
PredicatedMap.java,org.apache.commons.collections4.map,15,0,0,3,0,18,83.33333333333334
PredicatedMultiSet.java,org.apache.commons.collections4.multiset,3,0,11,0,0,14,21.428571428571427
PredicatedNavigableSet.java,org.apache.commons.collections4.set,0,0,13,0,0,13,0.0
PredicatedQueue.java,org.apache.commons.collections4.queue,7,0,0,2,0,9,77.77777777777779
PredicatedSet.java,org.apache.commons.collections4.set,6,0,0,0,0,6,100.0
PredicatedSortedBag.java,org.apache.commons.collections4.bag,1,0,4,0,0,5,20.0
PredicatedSortedMap.java,org.apache.commons.collections4.map,7,0,0,1,0,8,87.5
PredicatedSortedSet.java,org.apache.commons.collections4.set,0,0,8,0,0,8,0.0
PropertiesFactory.java,org.apache.commons.collections4.properties,1,0,0,0,0,1,100.0
PrototypeFactory.java,org.apache.commons.collections4.functors,10,0,1,3,0,14,71.42857142857143
PushbackIterator.java,org.apache.commons.collections4.iterators,9,0,1,0,0,10,90.0
QueueUtils.java,org.apache.commons.collections4,5,0,0,0,0,5,100.0
ReferenceIdentityMap.java,org.apache.commons.collections4.map,0,0,12,0,0,12,0.0
ReferenceMap.java,org.apache.commons.collections4.map,0,0,4,0,0,4,0.0
ReplacementsFinder.java,org.apache.commons.collections4.sequence,0,0,6,0,0,6,0.0
ReverseComparator.java,org.apache.commons.collections4.comparators,8,0,1,3,0,12,66.66666666666666
ReverseListIterator.java,org.apache.commons.collections4.iterators,15,0,0,0,0,15,100.0
SequencesComparator.java,org.apache.commons.collections4.sequence,139,0,0,8,1,148,93.91891891891892
SetUniqueList.java,org.apache.commons.collections4.list,46,0,1,7,0,54,85.18518518518519
SetUtils.java,org.apache.commons.collections4,58,0,19,2,0,79,73.41772151898735
SingletonIterator.java,org.apache.commons.collections4.iterators,9,0,0,0,0,9,100.0
SingletonListIterator.java,org.apache.commons.collections4.iterators,19,0,0,0,0,19,100.0
SingletonMap.java,org.apache.commons.collections4.map,0,0,69,0,0,69,0.0
SkippingIterator.java,org.apache.commons.collections4.iterators,11,0,0,0,0,11,100.0
SortedProperties.java,org.apache.commons.collections4.properties,2,0,0,0,0,2,100.0
SortedPropertiesFactory.java,org.apache.commons.collections4.properties,1,0,0,0,0,1,100.0
SplitMapUtils.java,org.apache.commons.collections4,20,0,7,15,0,42,47.61904761904761
StaticBucketMap.java,org.apache.commons.collections4.map,0,0,161,0,0,161,0.0
StringKeyAnalyzer.java,org.apache.commons.collections4.trie.analyzer,0,0,13,43,0,56,0.0
StringValueTransformer.java,org.apache.commons.collections4.functors,3,0,0,0,0,3,100.0
SwitchClosure.java,org.apache.commons.collections4.functors,17,0,3,4,0,24,70.83333333333334
SwitchTransformer.java,org.apache.commons.collections4.functors,19,0,3,4,0,26,73.07692307692307
SynchronizedBag.java,org.apache.commons.collections4.bag,1,0,12,0,0,13,7.6923076923076925
SynchronizedCollection.java,org.apache.commons.collections4.collection,29,0,2,6,0,37,78.37837837837837
SynchronizedMultiSet.java,org.apache.commons.collections4.multiset,3,0,10,0,0,13,23.076923076923077
SynchronizedQueue.java,org.apache.commons.collections4.queue,1,0,12,0,0,13,7.6923076923076925
SynchronizedSortedBag.java,org.apache.commons.collections4.bag,1,0,4,0,0,5,20.0
TiedMapEntry.java,org.apache.commons.collections4.keyvalue,17,0,1,2,0,20,85.0
TransformIterator.java,org.apache.commons.collections4.iterators,5,0,2,0,0,7,71.42857142857143
TransformedBag.java,org.apache.commons.collections4.bag,1,0,15,0,0,16,6.25
TransformedCollection.java,org.apache.commons.collections4.collection,11,0,0,1,0,12,91.66666666666666
TransformedList.java,org.apache.commons.collections4.list,19,0,1,3,0,23,82.6086956521739
TransformedMap.java,org.apache.commons.collections4.map,20,0,0,3,0,23,86.95652173913044
TransformedMultiValuedMap.java,org.apache.commons.collections4.multimap,0,0,24,0,0,24,0.0
TransformedNavigableSet.java,org.apache.commons.collections4.set,0,0,17,0,0,17,0.0
TransformedPredicate.java,org.apache.commons.collections4.functors,5,0,2,0,0,7,71.42857142857143
TransformedQueue.java,org.apache.commons.collections4.queue,10,0,0,2,0,12,83.33333333333334
TransformedSet.java,org.apache.commons.collections4.set,8,0,0,1,0,9,88.88888888888889
TransformedSortedBag.java,org.apache.commons.collections4.bag,1,0,8,0,0,9,11.11111111111111
TransformedSortedMap.java,org.apache.commons.collections4.map,0,0,12,1,0,13,0.0
TransformedSortedSet.java,org.apache.commons.collections4.set,0,0,12,0,0,12,0.0
TransformedSplitMap.java,org.apache.commons.collections4.splitmap,9,0,4,2,0,15,60.0
TransformerClosure.java,org.apache.commons.collections4.functors,3,0,1,0,0,4,75.0
TransformerPredicate.java,org.apache.commons.collections4.functors,5,0,1,0,0,6,83.33333333333334
TransformerUtils.java,org.apache.commons.collections4,25,0,0,0,0,25,100.0
TransformingComparator.java,org.apache.commons.collections4.comparators,12,0,2,7,0,21,57.14285714285714
TreeBag.java,org.apache.commons.collections4.bag,4,0,7,3,0,14,28.57142857142857
TreeBidiMap.java,org.apache.commons.collections4.bidimap,0,0,464,0,0,464,0.0
TreeList.java,org.apache.commons.collections4.list,0,0,294,0,0,294,0.0
TrieUtils.java,org.apache.commons.collections4,1,0,0,0,0,1,100.0
TruePredicate.java,org.apache.commons.collections4.functors,3,0,0,0,0,3,100.0
UniquePredicate.java,org.apache.commons.collections4.functors,2,0,0,0,1,3,66.66666666666666
UnmodifiableBag.java,org.apache.commons.collections4.bag,3,0,6,0,0,9,33.33333333333333
UnmodifiableBidiMap.java,org.apache.commons.collections4.bidimap,0,0,9,0,0,9,0.0
UnmodifiableBoundedCollection.java,org.apache.commons.collections4.collection,9,0,4,3,1,17,52.94117647058824
UnmodifiableCollection.java,org.apache.commons.collections4.collection,4,0,0,0,0,4,100.0
UnmodifiableEntrySet.java,org.apache.commons.collections4.map,3,0,15,1,0,19,15.789473684210526
UnmodifiableIterator.java,org.apache.commons.collections4.iterators,7,0,0,0,0,7,100.0
UnmodifiableList.java,org.apache.commons.collections4.list,7,0,0,0,0,7,100.0
UnmodifiableListIterator.java,org.apache.commons.collections4.iterators,12,0,0,0,0,12,100.0
UnmodifiableMap.java,org.apache.commons.collections4.map,7,0,3,2,0,12,58.333333333333336
UnmodifiableMapIterator.java,org.apache.commons.collections4.iterators,9,0,0,0,0,9,100.0
UnmodifiableMultiSet.java,org.apache.commons.collections4.multiset,2,0,8,0,0,10,20.0
UnmodifiableMultiValuedMap.java,org.apache.commons.collections4.multimap,2,0,8,0,0,10,20.0
UnmodifiableNavigableSet.java,org.apache.commons.collections4.set,0,0,16,0,0,16,0.0
UnmodifiableOrderedBidiMap.java,org.apache.commons.collections4.bidimap,0,0,10,0,0,10,0.0
UnmodifiableOrderedMap.java,org.apache.commons.collections4.map,7,0,1,2,0,10,70.0
UnmodifiableOrderedMapIterator.java,org.apache.commons.collections4.iterators,12,0,0,0,0,12,100.0
UnmodifiableQueue.java,org.apache.commons.collections4.queue,5,0,0,3,0,8,62.5
UnmodifiableSet.java,org.apache.commons.collections4.set,3,0,0,1,0,4,75.0
UnmodifiableSortedBag.java,org.apache.commons.collections4.bag,3,0,6,0,0,9,33.33333333333333
UnmodifiableSortedBidiMap.java,org.apache.commons.collections4.bidimap,0,0,9,3,0,12,0.0
UnmodifiableSortedMap.java,org.apache.commons.collections4.map,9,0,4,2,0,15,60.0
UnmodifiableSortedSet.java,org.apache.commons.collections4.set,0,0,9,2,0,11,0.0
UnmodifiableTrie.java,org.apache.commons.collections4.trie,4,0,24,1,0,29,13.793103448275861
WhileClosure.java,org.apache.commons.collections4.functors,6,0,4,0,1,11,54.54545454545454
ZippingIterator.java,org.apache.commons.collections4.iterators,11,0,0,0,1,12,91.66666666666666
