Class,Package,KILLED,NO_COVERAGE,RUN_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
ManhattanDistance.java,org.apache.commons.math4.ml.distance,1,0,0,0,0,1,100.0
MannWhitneyUTest.java,org.apache.commons.math4.stat.inference,31,0,0,3,0,34,91.17647058823529
MapUtils.java,org.apache.commons.math4.ml.neuralnet,11,41,0,1,0,53,20.754716981132077
MathArrays.java,org.apache.commons.math4.util,4,328,0,0,0,332,1.2048192771084338
MathIllegalNumberException.java,org.apache.commons.math4.exception,1,0,0,0,0,1,100.0
MathInternalError.java,org.apache.commons.math4.exception,0,1,0,0,0,1,0.0
MathParseException.java,org.apache.commons.math4.exception,0,1,0,1,0,2,0.0
MathRuntimeException.java,org.apache.commons.math4.exception,4,1,0,0,0,5,80.0
MathUtils.java,org.apache.commons.math4.util,49,0,0,30,1,80,61.25000000000001
MatrixDimensionMismatchException.java,org.apache.commons.math4.linear,4,0,0,0,0,4,100.0
MatrixUtils.java,org.apache.commons.math4.linear,0,214,0,0,0,214,0.0
Max.java,org.apache.commons.math4.analysis.function,1,0,0,0,0,1,100.0
Max.java,org.apache.commons.math4.stat.descriptive.rank,15,1,0,4,0,20,75.0
MaxCountExceededException.java,org.apache.commons.math4.exception,2,0,0,0,0,2,100.0
MaxEval.java,org.apache.commons.math4.optim,2,1,0,1,0,4,50.0
MaxIter.java,org.apache.commons.math4.optim,2,1,0,1,0,4,50.0
Mean.java,org.apache.commons.math4.stat.descriptive.moment,27,2,0,8,0,37,72.97297297297297
Median.java,org.apache.commons.math4.stat.descriptive.rank,2,1,0,0,0,3,66.66666666666666
MedianOf3PivotingStrategy.java,org.apache.commons.math4.util,9,0,0,10,0,19,47.368421052631575
MicrosphereProjectionInterpolator.java,org.apache.commons.math4.analysis.interpolation,9,0,0,2,0,11,81.81818181818183
MidPointIntegrator.java,org.apache.commons.math4.analysis.integration,25,0,0,7,2,34,73.52941176470588
MidpointFieldIntegrator.java,org.apache.commons.math4.ode.nonstiff,4,0,0,0,0,4,100.0
MidpointFieldStepInterpolator.java,org.apache.commons.math4.ode.nonstiff,4,0,0,1,0,5,80.0
MidpointStepInterpolator.java,org.apache.commons.math4.ode.nonstiff,31,0,0,1,0,32,96.875
MillerUpdatingRegression.java,org.apache.commons.math4.stat.regression,473,60,0,115,1,649,72.88135593220339
Min.java,org.apache.commons.math4.analysis.function,1,0,0,0,0,1,100.0
Min.java,org.apache.commons.math4.stat.descriptive.rank,15,1,0,4,0,20,75.0
MiniBatchKMeansClusterer.java,org.apache.commons.math4.ml.clustering,3,50,0,10,2,65,4.615384615384616
Minus.java,org.apache.commons.math4.analysis.function,3,0,0,0,0,3,100.0
MixtureMultivariateNormalDistribution.java,org.apache.commons.math4.distribution,4,0,0,0,0,4,100.0
MixtureMultivariateRealDistribution.java,org.apache.commons.math4.distribution,21,13,0,1,0,35,60.0
MullerSolver.java,org.apache.commons.math4.analysis.solvers,47,3,0,28,0,78,60.256410256410255
MullerSolver2.java,org.apache.commons.math4.analysis.solvers,46,5,0,12,2,65,70.76923076923077
MultiDimensionMismatchException.java,org.apache.commons.math4.exception,2,2,0,0,0,4,50.0
MultiDirectionalSimplex.java,org.apache.commons.math4.optim.nonlinear.scalar.noderiv,16,0,0,1,1,18,88.88888888888889
MultiKMeansPlusPlusClusterer.java,org.apache.commons.math4.ml.clustering,3,0,0,2,1,6,50.0
MultiStartMultivariateOptimizer.java,org.apache.commons.math4.optim.nonlinear.scalar,7,3,0,1,0,11,63.63636363636363
MultiStartUnivariateOptimizer.java,org.apache.commons.math4.optim.univariate,28,1,0,4,0,33,84.84848484848484
Multiply.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
MultistepFieldIntegrator.java,org.apache.commons.math4.ode,29,5,0,10,2,46,63.04347826086957
MultistepIntegrator.java,org.apache.commons.math4.ode,31,12,0,14,3,60,51.66666666666667
MultivariateFunctionMappingAdapter.java,org.apache.commons.math4.optim.nonlinear.scalar,27,0,0,10,0,37,72.97297297297297
MultivariateFunctionPenaltyAdapter.java,org.apache.commons.math4.optim.nonlinear.scalar,23,0,0,9,0,32,71.875
MultivariateNormalDistribution.java,org.apache.commons.math4.distribution,45,4,0,3,0,52,86.53846153846155
MultivariateNormalMixtureExpectationMaximization.java,org.apache.commons.math4.distribution.fitting,92,6,0,11,0,109,84.40366972477065
MultivariateOptimizer.java,org.apache.commons.math4.optim.nonlinear.scalar,9,0,0,0,1,10,90.0
MultivariateSummaryStatistics.java,org.apache.commons.math4.stat.descriptive,96,0,0,22,0,118,81.35593220338984
NPointCrossover.java,org.apache.commons.math4.genetics,21,1,0,2,0,24,87.5
NaturalRanking.java,org.apache.commons.math4.stat.ranking,71,1,0,4,0,76,93.42105263157895
NeighbourhoodSizeFunctionFactory.java,org.apache.commons.math4.ml.neuralnet.sofm,4,0,0,0,0,4,100.0
NelderMeadSimplex.java,org.apache.commons.math4.optim.nonlinear.scalar.noderiv,62,0,0,5,0,67,92.53731343283582
Network.java,org.apache.commons.math4.ml.neuralnet,50,1,0,6,0,57,87.71929824561403
Neuron.java,org.apache.commons.math4.ml.neuralnet,21,0,0,2,0,23,91.30434782608695
NeuronSquareMesh2D.java,org.apache.commons.math4.ml.neuralnet.twod,156,7,0,5,0,168,92.85714285714286
NeuronString.java,org.apache.commons.math4.ml.neuralnet.oned,40,2,0,3,0,45,88.88888888888889
NevilleInterpolator.java,org.apache.commons.math4.analysis.interpolation,1,0,0,0,0,1,100.0
NewtonRaphsonSolver.java,org.apache.commons.math4.analysis.solvers,6,0,0,1,0,7,85.71428571428571
NoBracketingException.java,org.apache.commons.math4.exception,0,4,0,0,0,4,0.0
NonLinearConjugateGradientOptimizer.java,org.apache.commons.math4.optim.nonlinear.scalar.gradient,49,1,0,2,0,52,94.23076923076923
NonMonotonicSequenceException.java,org.apache.commons.math4.exception,4,0,0,4,0,8,50.0
NonNegativeConstraint.java,org.apache.commons.math4.optim.linear,1,0,0,0,0,1,100.0
NonPositiveDefiniteMatrixException.java,org.apache.commons.math4.linear,0,3,0,2,0,5,0.0
NonSymmetricMatrixException.java,org.apache.commons.math4.linear,0,3,0,0,0,3,0.0
NordsieckStepInterpolator.java,org.apache.commons.math4.ode.sampling,50,3,0,3,13,69,72.46376811594203
NormalApproximationInterval.java,org.apache.commons.math4.stat.interval,13,0,0,0,0,13,100.0
NullArgumentException.java,org.apache.commons.math4.exception,0,3,0,1,0,4,0.0
NumberIsTooLargeException.java,org.apache.commons.math4.exception,2,0,0,1,0,3,66.66666666666666
NumberIsTooSmallException.java,org.apache.commons.math4.exception,2,0,0,1,0,3,66.66666666666666
OLSMultipleLinearRegression.java,org.apache.commons.math4.stat.regression,40,0,0,0,0,40,100.0
ObjectiveFunction.java,org.apache.commons.math4.optim.nonlinear.scalar,1,0,0,0,0,1,100.0
ObjectiveFunctionGradient.java,org.apache.commons.math4.optim.nonlinear.scalar,1,0,0,0,0,1,100.0
OnePointCrossover.java,org.apache.commons.math4.genetics,13,0,0,0,0,13,100.0
OneWayAnova.java,org.apache.commons.math4.stat.inference,38,0,0,7,0,45,84.44444444444444
OpenIntToDoubleHashMap.java,org.apache.commons.math4.util,99,0,0,26,8,133,74.43609022556392
OpenIntToFieldHashMap.java,org.apache.commons.math4.util,97,1,0,28,8,134,72.38805970149254
OpenMapRealMatrix.java,org.apache.commons.math4.linear,54,9,0,8,1,72,75.0
OpenMapRealVector.java,org.apache.commons.math4.linear,178,18,0,26,0,222,80.18018018018019
OptimumImpl.java,org.apache.commons.math4.fitting.leastsquares,10,1,0,0,0,11,90.9090909090909
OrderedCrossover.java,org.apache.commons.math4.genetics,12,0,0,5,0,17,70.58823529411765
OutOfRangeException.java,org.apache.commons.math4.exception,2,0,0,0,0,2,100.0
